State,median_household_income,poverty_rate,pct_bachelors_or_higher,pct_uninsured,unemployment_rate,Year
New Mexico,67816.0,16.4,31.8,10.1,5.3,2024
New York,85820.0,14.0,41.2,5.0,5.3,2024
North Carolina,73958.0,12.5,37.1,8.6,4.0,2024
North Dakota,77871.0,11.1,34.0,6.1,1.9,2024
Ohio,72212.0,12.7,32.4,6.7,4.0,2024
Oklahoma,66148.0,14.9,29.3,11.5,4.7,2024
Oregon,85220.0,11.8,37.8,5.2,4.9,2024
Pennsylvania,77545.0,11.6,36.4,5.8,4.3,2024
Rhode Island,83504.0,12.2,39.0,4.6,5.0,2024
South Carolina,72350.0,13.3,33.3,9.0,4.5,2024
South Dakota,76881.0,10.4,34.2,8.1,2.8,2024
Tennessee,71997.0,13.5,32.4,9.7,4.2,2024
Texas,79721.0,13.4,35.2,16.7,4.8,2024
Utah,96658.0,8.3,39.1,8.3,3.8,2024
Vermont,82730.0,9.0,45.1,4.2,2.7,2024
Virginia,92090.0,9.7,43.3,6.9,3.6,2024
Washington,99389.0,9.9,41.0,6.5,4.9,2024
West Virginia,60798.0,16.7,24.4,5.8,4.6,2024
Wisconsin,77488.0,10.3,34.6,5.3,3.1,2024
Wyoming,75532.0,10.1,32.3,10.3,3.4,2024
Puerto Rico,27213.0,37.3,29.7,5.6,8.4,2024
